CHR	SNP	P.value	Coordinate	GeneSymbol	Gene	Location	LocationRelativeToGene	Coding_Status	AminoAcidChange	BONF	HOLM	BH	HOMMEL	FDR	CON_ADJ
17	rs7216269	0.005543	7901929	ALOX15B	NM_001141	flanking_3UTR	-8756	-1	-1	1	1	0.8827	0.99671186440678	0.8827	0.952422372881356
23	rs1334501	0.01843	136088542	GPR101	NM_054021	flanking_5UTR	-249190	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
23	rs5931111	0.0214	136066571	GPR101	NM_054021	flanking_5UTR	-227219	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
22	rs9608299	0.02643	23301840	GGT1	NM_013430	flanking_5UTR	-2431	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
23	rs2151083	0.03627	135918656	GPR101	NM_054021	flanking_5UTR	-79304	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
13	rs9595997	0.03945	48245204	CYSLTR2	NM_020377	flanking_3UTR	-63706	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
17	rs8078865	0.04787	7896039	ALOX15B	NM_001141	flanking_3UTR	-2866	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
10	rs745986	0.0588	45198914	ALOX5	NM_000698	intron	-780	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
17	rs7406909	0.06376	6816384	ALOX12	NM_000697	flanking_5UTR	-23743	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
7	rs2190930	0.07089	123653577	GPR37	NM_005302	flanking_3UTR	-326489	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
1	rs10798056	0.07287	183443567	PTGS2	NM_000963	flanking_5UTR	-62355	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
13	rs890561	0.0753	48295317	CYSLTR2	NM_020377	flanking_3UTR	-113819	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
23	rs4480263	0.08706	135975227	GPR101	NM_054021	flanking_5UTR	-135875	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
13	rs1449587	0.08912	48311469	CYSLTR2	NM_020377	flanking_3UTR	-129971	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
7	rs4731184	0.0933	123747343	GPR37	NM_005302	flanking_3UTR	-232723	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
17	rs748694	0.09826	4496938	ALOX15	NM_001140	flanking_5UTR	-5230	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
7	rs1544521	0.09844	123749921	GPR37	NM_005302	flanking_3UTR	-230145	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
1	rs668413	0.1006	109907986	GSTM4	NM_000850	flanking_5UTR	-2758	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
1	rs7518498	0.1057	183451227	PTGS2	NM_000963	flanking_5UTR	-70015	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
13	rs1000603	0.1076	48245269	CYSLTR2	NM_020377	flanking_3UTR	-63771	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
13	rs12857217	0.1092	98714437	GPR18	NM_005292	flanking_5UTR	-5809	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
17	rs8073913	0.1112	7902102	ALOX15B	NM_001141	flanking_3UTR	-8929	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
12	rs803561	0.1124	107257701	CMKLR1	NM_004072	flanking_5UTR	-22149	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
