SNP	CHR	BP	A1	TEST	NMISS	OR	STAT	P	ASSO_GENE	BONF	HOLM	BH	HOMMEL	FDR	CON_ADJ	STRAND	UK_ASSO_GENE	OMIM
rs117778271	16	89483663	A	DOM	205268	1.286	4.269	1.963e-05	DPEP1	0.10564866	0.10564866	0.10564866	0.10564866	0.10564866	0.10564866	+	ENST00000301030 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11 /// ENST00000378330 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11 /// ENST00000378332 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11 /// ENST00000562816 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11 /// ENST00000566973 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11 /// ENST00000568512 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11 /// NM_001256182 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11 /// NM_001256183 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11 /// NM_013275 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11 /// NR_045839 // intron // 0 // Hs.740440 // ANKRD11 // 29123 // ankyrin repeat domain 11	611192 // KBG syndrome // 148050 // intron
rs12984081	19	52444924	C	DOM	203092	0.8718	-3.801	0.0001441	FPR2	0.7755462	0.7754021	0.3877731	0.775258	0.3877731	0.6203505	+	ENST00000293471 // intron // 0 // Hs.183390 // ZNF613 // 79898 // zinc finger protein 613 /// ENST00000391794 // intron // 0 // Hs.183390 // ZNF613 // 79898 // zinc finger protein 613 /// ENST00000593379 // intron // 0 // Hs.183390 // ZNF613 // 79898 // zinc finger protein 613 /// ENST00000599683 // intron // 0 // Hs.183390 // ZNF613 // 79898 // zinc finger protein 613 /// ENST00000600853 // intron // 0 // Hs.183390 // ZNF613 // 79898 // zinc finger protein 613 /// NM_001031721 // intron // 0 // Hs.183390 // ZNF613 // 79898 // zinc finger protein 613 /// NM_024840 // intron // 0 // Hs.183390 // ZNF613 // 79898 // zinc finger protein 613	---
rs12170538	22	21400282	C	DOM	205249	0.8403	-3.673	0.0002398	GGT2	1	1	0.4302012	0.9999	0.4302012	0.77206048	+	ENST00000342608 // missense // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// ENST00000442047 // missense // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// ENST00000473769 // exon // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// ENST00000497328 // exon // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// ENST00000543388 // missense // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// NR_027006 // exon // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene	---
rs73164868	22	21401570	A	DOM	204869	0.848	-3.501	0.0004642	GGT2	1	1	0.6245811	0.9999	0.6245811	0.84981244	+	ENST00000342608 // intron // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// ENST00000442047 // intron // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// ENST00000473769 // intron // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// ENST00000497328 // intron // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// ENST00000543388 // intron // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene /// NR_027006 // intron // 0 // Hs.291198 // LOC400891 // 400891 // chromosome 14 open reading frame 166B pseudogene	---
rs12609373	19	52298281	C	DOM	205267	0.8936	-3.397	0.0006814	FPR2	1	1	0.73345896	0.9999	0.73345896	0.893363584	+	ENST00000594900 // intron // 0 // Hs.753 // FPR1 // 2357 // formyl peptide receptor 1 /// NM_001462 // downstream // 24502 // Hs.99855 // FPR2 // 2358 // formyl peptide receptor 2 /// NM_002030 // upstream // 130 // Hs.445466 // FPR3 // 2359 // formyl peptide receptor 3	---
rs17834799	19	52296537	C	DOM	204749	0.895	-3.338	0.0008443	FPR2	1	1	0.7573371	0.9999	0.7573371	0.90291484	+	ENST00000594900 // intron // 0 // Hs.753 // FPR1 // 2357 // formyl peptide receptor 1 /// NM_001462 // downstream // 22758 // Hs.99855 // FPR2 // 2358 // formyl peptide receptor 2 /// NM_002030 // upstream // 1874 // Hs.445466 // FPR3 // 2359 // formyl peptide receptor 3	---
rs3797769	5	179388586	T	DOM	205380	1.3	3.246	0.001172	LTC4S	1	1	0.824424545454545	0.9999	0.824424545454545	0.929749818181818	+	ENST00000261947 // intron // 0 // Hs.484363 // RNF130 // 55819 // ring finger protein 130 /// ENST00000520911 // intron // 0 // Hs.484363 // RNF130 // 55819 // ring finger protein 130 /// ENST00000521389 // intron // 0 // Hs.484363 // RNF130 // 55819 // ring finger protein 130 /// ENST00000521901 // intron // 0 // Hs.484363 // RNF130 // 55819 // ring finger protein 130 /// ENST00000522208 // intron // 0 // Hs.484363 // RNF130 // 55819 // ring finger protein 130 /// ENST00000522885 // intron // 0 // Hs.484363 // RNF130 // 55819 // ring finger protein 130 /// NM_018434 // intron // 0 // Hs.484363 // RNF130 // 55819 // ring finger protein 130	---
rs72679355	14	24954102	A	DOM	204846	0.902	-3.212	0.001317	LTB4R	1	1	0.824424545454545	0.9999	0.824424545454545	0.929749818181818	+	ENST00000553937 // upstream // 41991 // Hs.643552 // SDR39U1 // 56948 // short chain dehydrogenase/reductase family 39U member 1 /// ENST00000555109 // upstream // 16698 // --- // --- // --- // --- /// NM_001836 // downstream // 20610 // Hs.135626 // CMA1 // 1215 // chymase 1 mast cell /// NM_020195 // upstream // 42095 // Hs.643552 // SDR39U1 // 56948 // short chain dehydrogenase/reductase family 39U member 1	---
rs6500537	16	89196208	A	DOM	203732	0.8984	-3.141	0.001685	DPEP1	1	1	0.824424545454545	0.9999	0.824424545454545	0.929749818181818	+	ENST00000317447 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// ENST00000378345 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// ENST00000406948 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// ENST00000540697 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// ENST00000542688 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// ENST00000544543 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// ENST00000562204 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// NM_001127214 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// NM_001243279 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// NM_174917 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// NR_023316 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3 /// NR_045666 // intron // 0 // Hs.461727 // ACSF3 // 197322 // acyl-CoA synthetase family member 3	614245 // Combined malonic and methylmalonic aciduria // 614265 // intron
rs11652554	17	4338964	T	DOM	204895	0.9039	-3.15	0.001634	ALOX15	1	1	0.824424545454545	0.9999	0.824424545454545	0.929749818181818	+	ENST00000333476 // intron // 0 // Hs.657543 // SPNS3 // 201305 // spinster homolog 3 (Drosophila) /// ENST00000355530 // intron // 0 // Hs.657543 // SPNS3 // 201305 // spinster homolog 3 (Drosophila) /// ENST00000575194 // intron // 0 // Hs.657543 // SPNS3 // 201305 // spinster homolog 3 (Drosophila) /// ENST00000576069 // intron // 0 // Hs.657543 // SPNS3 // 201305 // spinster homolog 3 (Drosophila) /// NM_182538 // intron // 0 // Hs.657543 // SPNS3 // 201305 // spinster homolog 3 (Drosophila)	---
