gene	Chromosome	Probe.Set.ID	Affy.SNP.ID	dbSNP.RS.ID	Physical.Position	Position.End	Strand	Number.of.individuals	OMIM	Associated.Gene																			
ALOX15B	17	AFFX-SNP-000249	Affx-14429918	rs12602213	7940894	7940894	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	600179 // Cone-rod dystrophy 6 // 601777 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream	"ENST00000380183 // upstream // 1441 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000459145 // upstream // 2992 // --- // --- // --- // --- /// NM_000180 // downstream // 17236 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// NM_001141 // upstream // 1464 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15	17	AX-11217411	Affx-13977889	rs12600601	4565717	4565717	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000545513 // upstream // 20128 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574876 // downstream // 8962 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1 /// NM_001140 // upstream // 20757 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_014389 // downstream // 8962 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1"																			
ALOX15B	17	AX-11217501	Affx-14429918	rs12602213	7940894	7940894	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	600179 // Cone-rod dystrophy 6 // 601777 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream	"ENST00000380183 // upstream // 1441 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000459145 // upstream // 2992 // --- // --- // --- // --- /// NM_000180 // downstream // 17236 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// NM_001141 // upstream // 1464 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15	17	AX-11342176	Affx-13977783	rs17823987	4564690	4564690	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000545513 // upstream // 19101 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574876 // downstream // 9989 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1 /// NM_001140 // upstream // 19730 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_014389 // downstream // 9989 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1"																			
ALOX15	17	AX-11403962	Affx-13975424	rs2664592	4545163	4545163	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000545513 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000570836 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574640 // UTR-5 // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000576394 // UTR-5 // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_001140 // upstream // 203 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_014389 // downstream // 29516 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1"																			
ALOX15	17	AX-11526497	Affx-13973174	rs4790210	4528838	4528838	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000410497 // upstream // 5691 // --- // --- // --- // --- /// ENST00000570836 // downstream // 5359 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_001114974 // downstream // 17224 // Hs.441709 // SMTNL2 // 342527 // smoothelin-like 2 /// NM_001140 // downstream // 5376 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-11549853	Affx-14235426	rs591436	6570170	6570170	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 17862 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 11342 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 17869 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 5469 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-11624768	Affx-13974122	rs743646	4536241	4536241	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000293761 // synon // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000545513 // synon // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000570836 // synon // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574640 // synon // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_001140 // synon // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-11663734	Affx-13971290	rs8070464	4512492	4512492	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000338859 // downstream // 878 // Hs.441709 // SMTNL2 // 342527 // smoothelin-like 2 /// ENST00000573270 // upstream // 1252 // Hs.434312 // LOC400568 // 400568 // Uncharacterized LOC400568 /// NM_001114974 // downstream // 878 // Hs.441709 // SMTNL2 // 342527 // smoothelin-like 2 /// NM_001140 // downstream // 21722 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-11663777	Affx-13971262	---	4512292	4512292	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000338859 // downstream // 678 // Hs.441709 // SMTNL2 // 342527 // smoothelin-like 2 /// ENST00000573270 // upstream // 1452 // Hs.434312 // LOC400568 // 400568 // Uncharacterized LOC400568 /// NM_001114974 // downstream // 678 // Hs.441709 // SMTNL2 // 342527 // smoothelin-like 2 /// NM_001140 // downstream // 21922 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-11708897	Affx-13972097	rs9895232	4519139	4519139	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000573270 // intron // 0 // Hs.434312 // LOC400568 // 400568 // Uncharacterized LOC400568 /// NM_001114974 // downstream // 7525 // Hs.441709 // SMTNL2 // 342527 // smoothelin-like 2 /// NM_001140 // downstream // 15075 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-11708999	Affx-14430383	rs9897145	7957140	7957140	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	"603741 // Ichthyosis, congenital, autosomal recessive 2 // 242100 // downstream"	"ENST00000571240 // downstream // 4688 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000577807 // downstream // 2403 // --- // --- // --- // --- /// NM_001039130 // downstream // 4689 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001139 // downstream // 18814 // Hs.136574 // ALOX12B // 242 // arachidonate 12-lipoxygenase, 12R type"																			
ALOX15	17	AX-13193669	Affx-13974560	rs11568112	4539358	4539358	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000293761 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000545513 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000570836 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574640 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_001140 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-13193670	Affx-13974567	rs7217186	4539392	4539392	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000293761 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000545513 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000570836 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574640 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_001140 // intron // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-13193815	Affx-13977000	rs79962533	4557860	4557860	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000545513 // upstream // 12271 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574876 // downstream // 16819 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1 /// NM_001140 // upstream // 12900 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_014389 // downstream // 16819 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1"																			
ALOX15	17	AX-13193829	Affx-13977104	rs75416268	4558850	4558850	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000545513 // upstream // 13261 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574876 // downstream // 15829 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1 /// NM_001140 // upstream // 13890 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_014389 // downstream // 15829 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1"																			
ALOX15	17	AX-13193953	Affx-13978136	rs4470203	4567798	4567798	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000545513 // upstream // 22209 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574876 // downstream // 6881 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1 /// NM_001140 // upstream // 22838 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_014389 // downstream // 6881 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1"																			
